qaoa_depth_p,mean_exact_expected_ratio,std_exact_expected_ratio,mean_optimal_solution_probability,mean_cx,mean_depth,mean_cx_per_edge_per_layer
1,0.7345316018511951,0.08961348413182377,0.08457816539371302,70.6,77.75,3.9712389998170363
2,0.776920279179014,0.07770388222935459,0.12064434615356975,170.48333333333332,158.41666666666666,4.749204284928708
3,0.7933526567687194,0.08095270047853659,0.15009569613022228,261.80833333333334,227.94166666666666,4.893418513341887
