qaoa_depth_p,optimizer,mean_exact_expected_ratio,std_exact_expected_ratio,mean_optimal_solution_probability,mean_cx,mean_depth,mean_num_function_evaluations
1,COBYLA,0.7452281925573985,0.08957896303970801,0.08890652633288984,70.7,77.83333333333333,35.28333333333333
1,SPSA,0.7238350111449917,0.08910758258609182,0.0802498044545362,70.5,77.66666666666667,181.0
2,COBYLA,0.7964393033255484,0.06519299462728866,0.12625736868761614,165.38333333333333,151.78333333333333,60.31666666666667
2,SPSA,0.7574012550324796,0.08457598744767311,0.11503132361952335,175.58333333333334,165.05,181.0
3,COBYLA,0.800340577844006,0.06879114880222555,0.14625091907697996,243.03333333333333,210.76666666666668,68.31666666666666
3,SPSA,0.7863647356934325,0.09157627126641603,0.15394047318346463,280.5833333333333,245.11666666666667,181.0
