graph_id,graph_type,graph_seed,num_nodes,num_edges,edge_density,avg_degree,degree_std,max_degree,clustering,optimal_cut,qaoa_depth_p,optimizer,runtime_seconds,num_function_evaluations,theta_0,theta_1,expected_cut,exact_expected_ratio,best_cut,best_ratio,best_bitstring,optimal_solution_probability,empirical_expected_ratio_sampled,sampled_best_ratio,shots,topology,transpiled_depth,transpiled_cx,transpiled_1q_ops,transpiled_total_ops,cx_per_edge,cx_per_layer,cx_per_edge_per_layer,theta_2,theta_3,theta_4,theta_5
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,7,1,COBYLA,0.05346512794494629,35,1.1711712709807323,1.0959750896377332,5.167047843327375,0.7381496919039108,7.0,1.0,010010,0.1504788304560817,0.7308175223214286,1.0,2048,all_to_all,29,18,56,74,2.0,18.0,2.0,,,,
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,7,1,COBYLA,0.05346512794494629,35,1.1711712709807323,1.0959750896377332,5.167047843327375,0.7381496919039108,7.0,1.0,010010,0.1504788304560817,0.7308175223214286,1.0,2048,linear,51,26,79,105,2.888888888888889,26.0,2.888888888888889,,,,
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,7,1,COBYLA,0.05346512794494629,35,1.1711712709807323,1.0959750896377332,5.167047843327375,0.7381496919039108,7.0,1.0,010010,0.1504788304560817,0.7308175223214286,1.0,2048,ring,42,26,67,93,2.888888888888889,26.0,2.888888888888889,,,,
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,7,1,COBYLA,0.05346512794494629,35,1.1711712709807323,1.0959750896377332,5.167047843327375,0.7381496919039108,7.0,1.0,010010,0.1504788304560817,0.7308175223214286,1.0,2048,grid,42,24,67,91,2.6666666666666665,24.0,2.6666666666666665,,,,
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,7,1,COBYLA,0.05346512794494629,35,1.1711712709807323,1.0959750896377332,5.167047843327375,0.7381496919039108,7.0,1.0,010010,0.1504788304560817,0.7308175223214286,1.0,2048,heavy_hex_like,42,24,56,80,2.6666666666666665,24.0,2.6666666666666665,,,,
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,7,1,SPSA,0.16298913955688477,181,0.6863489027349219,0.0,4.500000000000001,0.642857142857143,7.0,1.0,010010,0.06250000000000004,0.6416015625,1.0,2048,all_to_all,24,18,27,45,2.0,18.0,2.0,,,,
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,7,1,SPSA,0.16298913955688477,181,0.6863489027349219,0.0,4.500000000000001,0.642857142857143,7.0,1.0,010010,0.06250000000000004,0.6416015625,1.0,2048,linear,41,24,51,75,2.6666666666666665,24.0,2.6666666666666665,,,,
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,7,1,SPSA,0.16298913955688477,181,0.6863489027349219,0.0,4.500000000000001,0.642857142857143,7.0,1.0,010010,0.06250000000000004,0.6416015625,1.0,2048,ring,37,28,47,75,3.111111111111111,28.0,3.111111111111111,,,,
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,7,1,SPSA,0.16298913955688477,181,0.6863489027349219,0.0,4.500000000000001,0.642857142857143,7.0,1.0,010010,0.06250000000000004,0.6416015625,1.0,2048,grid,35,22,37,59,2.4444444444444446,22.0,2.4444444444444446,,,,
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,7,1,SPSA,0.16298913955688477,181,0.6863489027349219,0.0,4.500000000000001,0.642857142857143,7.0,1.0,010010,0.06250000000000004,0.6416015625,1.0,2048,heavy_hex_like,33,24,37,61,2.6666666666666665,24.0,2.6666666666666665,,,,
