graph_type,num_nodes,mean_random_ratio,mean_best_random_ratio,mean_greedy_ratio
erdos_renyi,6,0.5970335751488095,1.0,0.9714285714285715
erdos_renyi,8,0.6331861660474941,1.0,0.9464335664335664
erdos_renyi,10,0.687125533206071,1.0,0.9499748617395676
erdos_renyi,12,0.6643654972179089,1.0,0.9639233954451345
random_regular,6,0.6435825892857143,1.0,1.0
random_regular,8,0.601298828125,1.0,1.0
random_regular,10,0.595365710136218,1.0,0.9217948717948717
random_regular,12,0.578927001953125,0.9875,0.9608333333333334
watts_strogatz,6,0.6815470377604167,1.0,0.8416666666666666
watts_strogatz,8,0.6685673213505245,1.0,0.9651515151515152
watts_strogatz,10,0.6568066406249999,1.0,0.9475
watts_strogatz,12,0.6451634457236842,0.9894736842105264,0.8929824561403509
