graph_id,graph_type,graph_seed,num_nodes,num_edges,edge_density,avg_degree,degree_std,max_degree,clustering,qaoa_depth_p,optimizer,topology,noise_setting,depol_1q,depol_2q,readout,shots,exact_expected_ratio,empirical_expected_ratio,expected_cut,optimal_solution_probability,best_ratio,best_cut,quality_drop_from_exact,best_bitstring
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,3,SPSA,linear,noiseless,0.0,0.0,0.0,2048,0.8585943070517627,0.8585943070517627,6.0101601493623384,0.3946389956582794,1.0,7.0,0.0,
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,3,SPSA,linear,depolarizing,0.001,0.01,0.0,2048,0.8585943070517627,0.7879464285714286,5.515625,0.26513671875,1.0,7.0,0.07064787848033405,101101
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,3,SPSA,linear,readout,0.0,0.0,0.02,2048,0.8585943070517627,0.8482142857142857,5.9375,0.3857421875,1.0,7.0,0.010380021337476952,101101
erdos_renyi_n6_s7,erdos_renyi,7,6,9,0.6,3.0,1.0,4,0.49999999999999994,3,SPSA,linear,combined,0.001,0.01,0.02,2048,0.8585943070517627,0.7749720982142857,5.4248046875,0.24169921875,1.0,7.0,0.08362220883747695,011010
erdos_renyi_n6_s21,erdos_renyi,21,6,6,0.4,2.0,0.816496580927726,3,0.27777777777777773,1,COBYLA,linear,noiseless,0.0,0.0,0.0,2048,0.8356263369275043,0.8356263369275043,4.178131684637521,0.39663585857568684,1.0,5.0,0.0,
erdos_renyi_n6_s21,erdos_renyi,21,6,6,0.4,2.0,0.816496580927726,3,0.27777777777777773,1,COBYLA,linear,depolarizing,0.001,0.01,0.0,2048,0.8356263369275043,0.825390625,4.126953125,0.37744140625,1.0,5.0,0.010235711927504276,101100
erdos_renyi_n6_s21,erdos_renyi,21,6,6,0.4,2.0,0.816496580927726,3,0.27777777777777773,1,COBYLA,linear,readout,0.0,0.0,0.02,2048,0.8356263369275043,0.82158203125,4.10791015625,0.36376953125,1.0,5.0,0.014044305677504365,010111
erdos_renyi_n6_s21,erdos_renyi,21,6,6,0.4,2.0,0.816496580927726,3,0.27777777777777773,1,COBYLA,linear,combined,0.001,0.01,0.02,2048,0.8356263369275043,0.80859375,4.04296875,0.34814453125,1.0,5.0,0.02703258692750432,101000
erdos_renyi_n6_s21,erdos_renyi,21,6,6,0.4,2.0,0.816496580927726,3,0.27777777777777773,1,SPSA,linear,noiseless,0.0,0.0,0.0,2048,0.8356225694043671,0.8356225694043671,4.178112847021835,0.39731358299852904,1.0,5.0,0.0,
erdos_renyi_n6_s21,erdos_renyi,21,6,6,0.4,2.0,0.816496580927726,3,0.27777777777777773,1,SPSA,linear,depolarizing,0.001,0.01,0.0,2048,0.8356225694043671,0.81923828125,4.09619140625,0.37060546875,1.0,5.0,0.0163842881543671,010111
erdos_renyi_n6_s21,erdos_renyi,21,6,6,0.4,2.0,0.816496580927726,3,0.27777777777777773,1,SPSA,linear,readout,0.0,0.0,0.02,2048,0.8356225694043671,0.8142578125,4.0712890625,0.37060546875,1.0,5.0,0.02136475690436712,010111
erdos_renyi_n6_s21,erdos_renyi,21,6,6,0.4,2.0,0.816496580927726,3,0.27777777777777773,1,SPSA,linear,combined,0.001,0.01,0.02,2048,0.8356225694043671,0.79990234375,3.99951171875,0.3447265625,1.0,5.0,0.035720225654367055,010111
erdos_renyi_n6_s21,erdos_renyi,21,6,6,0.4,2.0,0.816496580927726,3,0.27777777777777773,2,COBYLA,linear,noiseless,0.0,0.0,0.0,2048,0.8356263432168477,0.8356263432168477,4.178131716084239,0.3966492620048691,1.0,5.0,0.0,
erdos_renyi_n6_s21,erdos_renyi,21,6,6,0.4,2.0,0.816496580927726,3,0.27777777777777773,2,COBYLA,linear,depolarizing,0.001,0.01,0.0,2048,0.8356263432168477,0.79609375,3.98046875,0.33837890625,1.0,5.0,0.039532593216847656,010111
erdos_renyi_n6_s21,erdos_renyi,21,6,6,0.4,2.0,0.816496580927726,3,0.27777777777777773,2,COBYLA,linear,readout,0.0,0.0,0.02,2048,0.8356263432168477,0.81376953125,4.06884765625,0.36328125,1.0,5.0,0.021856811966847745,010011
erdos_renyi_n6_s21,erdos_renyi,21,6,6,0.4,2.0,0.816496580927726,3,0.27777777777777773,2,COBYLA,linear,combined,0.001,0.01,0.02,2048,0.8356263432168477,0.78076171875,3.90380859375,0.31005859375,1.0,5.0,0.0548646244668477,010111
erdos_renyi_n6_s21,erdos_renyi,21,6,6,0.4,2.0,0.816496580927726,3,0.27777777777777773,2,SPSA,linear,noiseless,0.0,0.0,0.0,2048,0.6887484469651042,0.6887484469651042,3.4437422348255207,0.16522561401858485,1.0,5.0,0.0,
erdos_renyi_n6_s21,erdos_renyi,21,6,6,0.4,2.0,0.816496580927726,3,0.27777777777777773,2,SPSA,linear,depolarizing,0.001,0.01,0.0,2048,0.6887484469651042,0.67763671875,3.38818359375,0.158203125,1.0,5.0,0.0111117282151042,101000
erdos_renyi_n6_s21,erdos_renyi,21,6,6,0.4,2.0,0.816496580927726,3,0.27777777777777773,2,SPSA,linear,readout,0.0,0.0,0.02,2048,0.6887484469651042,0.6826171875,3.4130859375,0.169921875,1.0,5.0,0.006131259465104177,101000
erdos_renyi_n6_s21,erdos_renyi,21,6,6,0.4,2.0,0.816496580927726,3,0.27777777777777773,2,SPSA,linear,combined,0.001,0.01,0.02,2048,0.6887484469651042,0.6689453125,3.3447265625,0.15673828125,1.0,5.0,0.019803134465104177,100110
erdos_renyi_n6_s21,erdos_renyi,21,6,6,0.4,2.0,0.816496580927726,3,0.27777777777777773,3,COBYLA,linear,noiseless,0.0,0.0,0.0,2048,0.8359387918396157,0.8359387918396157,4.179693959198079,0.39872002325405165,1.0,5.0,0.0,
erdos_renyi_n6_s21,erdos_renyi,21,6,6,0.4,2.0,0.816496580927726,3,0.27777777777777773,3,COBYLA,linear,depolarizing,0.001,0.01,0.0,2048,0.8359387918396157,0.8060546875,4.0302734375,0.3564453125,1.0,5.0,0.029884104339615747,101000
erdos_renyi_n6_s21,erdos_renyi,21,6,6,0.4,2.0,0.816496580927726,3,0.27777777777777773,3,COBYLA,linear,readout,0.0,0.0,0.02,2048,0.8359387918396157,0.8220703125,4.1103515625,0.3779296875,1.0,5.0,0.013868479339615769,101000
erdos_renyi_n6_s21,erdos_renyi,21,6,6,0.4,2.0,0.816496580927726,3,0.27777777777777773,3,COBYLA,linear,combined,0.001,0.01,0.02,2048,0.8359387918396157,0.7869140625,3.9345703125,0.326171875,1.0,5.0,0.04902472933961577,101000
erdos_renyi_n6_s21,erdos_renyi,21,6,6,0.4,2.0,0.816496580927726,3,0.27777777777777773,3,SPSA,linear,noiseless,0.0,0.0,0.0,2048,0.8338876622873876,0.8338876622873876,4.169438311436938,0.40499746922732094,1.0,5.0,0.0,
erdos_renyi_n6_s21,erdos_renyi,21,6,6,0.4,2.0,0.816496580927726,3,0.27777777777777773,3,SPSA,linear,depolarizing,0.001,0.01,0.0,2048,0.8338876622873876,0.78427734375,3.92138671875,0.328125,1.0,5.0,0.04961031853738762,101000
erdos_renyi_n6_s21,erdos_renyi,21,6,6,0.4,2.0,0.816496580927726,3,0.27777777777777773,3,SPSA,linear,readout,0.0,0.0,0.02,2048,0.8338876622873876,0.81357421875,4.06787109375,0.361328125,1.0,5.0,0.02031344353738762,010011
