graph_id,graph_type,graph_seed,num_nodes,num_edges,edge_density,avg_degree,degree_std,max_degree,clustering,qaoa_depth_p,optimizer,topology,transpiled_depth,transpiled_cx,transpiled_1q_ops,transpiled_total_ops,cx_per_edge,cx_per_layer,cx_per_edge_per_layer
watts_strogatz_n12_s7,watts_strogatz,7,12,24,0.36363636363636365,4.0,1.2909944487358056,7,0.38492063492063494,1,SPSA,linear,132,128,157,285,5.333333333333333,128.0,5.333333333333333
watts_strogatz_n12_s7,watts_strogatz,7,12,24,0.36363636363636365,4.0,1.2909944487358056,7,0.38492063492063494,1,SPSA,ring,124,109,145,254,4.541666666666667,109.0,4.541666666666667
watts_strogatz_n12_s7,watts_strogatz,7,12,24,0.36363636363636365,4.0,1.2909944487358056,7,0.38492063492063494,1,SPSA,grid,101,72,127,199,3.0,72.0,3.0
watts_strogatz_n12_s7,watts_strogatz,7,12,24,0.36363636363636365,4.0,1.2909944487358056,7,0.38492063492063494,1,SPSA,heavy_hex_like,111,85,110,195,3.5416666666666665,85.0,3.5416666666666665
watts_strogatz_n12_s7,watts_strogatz,7,12,24,0.36363636363636365,4.0,1.2909944487358056,7,0.38492063492063494,2,COBYLA,all_to_all,106,96,202,298,4.0,48.0,2.0
watts_strogatz_n12_s7,watts_strogatz,7,12,24,0.36363636363636365,4.0,1.2909944487358056,7,0.38492063492063494,2,COBYLA,linear,300,289,337,626,12.041666666666666,144.5,6.020833333333333
watts_strogatz_n12_s7,watts_strogatz,7,12,24,0.36363636363636365,4.0,1.2909944487358056,7,0.38492063492063494,2,COBYLA,ring,264,251,335,586,10.458333333333334,125.5,5.229166666666667
watts_strogatz_n12_s7,watts_strogatz,7,12,24,0.36363636363636365,4.0,1.2909944487358056,7,0.38492063492063494,2,COBYLA,grid,185,155,239,394,6.458333333333333,77.5,3.2291666666666665
watts_strogatz_n12_s7,watts_strogatz,7,12,24,0.36363636363636365,4.0,1.2909944487358056,7,0.38492063492063494,2,COBYLA,heavy_hex_like,241,184,284,468,7.666666666666667,92.0,3.8333333333333335
watts_strogatz_n12_s7,watts_strogatz,7,12,24,0.36363636363636365,4.0,1.2909944487358056,7,0.38492063492063494,2,SPSA,all_to_all,106,96,202,298,4.0,48.0,2.0
watts_strogatz_n12_s7,watts_strogatz,7,12,24,0.36363636363636365,4.0,1.2909944487358056,7,0.38492063492063494,2,SPSA,linear,302,291,329,620,12.125,145.5,6.0625
watts_strogatz_n12_s7,watts_strogatz,7,12,24,0.36363636363636365,4.0,1.2909944487358056,7,0.38492063492063494,2,SPSA,ring,281,253,325,578,10.541666666666666,126.5,5.270833333333333
watts_strogatz_n12_s7,watts_strogatz,7,12,24,0.36363636363636365,4.0,1.2909944487358056,7,0.38492063492063494,2,SPSA,grid,213,155,280,435,6.458333333333333,77.5,3.2291666666666665
watts_strogatz_n12_s7,watts_strogatz,7,12,24,0.36363636363636365,4.0,1.2909944487358056,7,0.38492063492063494,2,SPSA,heavy_hex_like,239,183,289,472,7.625,91.5,3.8125
watts_strogatz_n12_s7,watts_strogatz,7,12,24,0.36363636363636365,4.0,1.2909944487358056,7,0.38492063492063494,3,COBYLA,all_to_all,151,144,226,370,6.0,48.0,2.0
watts_strogatz_n12_s7,watts_strogatz,7,12,24,0.36363636363636365,4.0,1.2909944487358056,7,0.38492063492063494,3,COBYLA,linear,428,459,390,849,19.125,153.0,6.375
watts_strogatz_n12_s7,watts_strogatz,7,12,24,0.36363636363636365,4.0,1.2909944487358056,7,0.38492063492063494,3,COBYLA,ring,395,395,412,807,16.458333333333332,131.66666666666666,5.486111111111111
watts_strogatz_n12_s7,watts_strogatz,7,12,24,0.36363636363636365,4.0,1.2909944487358056,7,0.38492063492063494,3,COBYLA,grid,249,235,301,536,9.791666666666666,78.33333333333333,3.263888888888889
watts_strogatz_n12_s7,watts_strogatz,7,12,24,0.36363636363636365,4.0,1.2909944487358056,7,0.38492063492063494,3,COBYLA,heavy_hex_like,335,286,348,634,11.916666666666666,95.33333333333333,3.9722222222222223
watts_strogatz_n12_s7,watts_strogatz,7,12,24,0.36363636363636365,4.0,1.2909944487358056,7,0.38492063492063494,3,SPSA,all_to_all,156,144,285,429,6.0,48.0,2.0
watts_strogatz_n12_s7,watts_strogatz,7,12,24,0.36363636363636365,4.0,1.2909944487358056,7,0.38492063492063494,3,SPSA,linear,436,453,461,914,18.875,151.0,6.291666666666667
watts_strogatz_n12_s7,watts_strogatz,7,12,24,0.36363636363636365,4.0,1.2909944487358056,7,0.38492063492063494,3,SPSA,ring,391,393,450,843,16.375,131.0,5.458333333333333
watts_strogatz_n12_s7,watts_strogatz,7,12,24,0.36363636363636365,4.0,1.2909944487358056,7,0.38492063492063494,3,SPSA,grid,278,237,358,595,9.875,79.0,3.2916666666666665
watts_strogatz_n12_s7,watts_strogatz,7,12,24,0.36363636363636365,4.0,1.2909944487358056,7,0.38492063492063494,3,SPSA,heavy_hex_like,323,278,405,683,11.583333333333334,92.66666666666667,3.861111111111111
watts_strogatz_n12_s21,watts_strogatz,21,12,24,0.36363636363636365,4.0,0.9128709291752769,6,0.3611111111111111,1,COBYLA,all_to_all,53,48,118,166,2.0,48.0,2.0
watts_strogatz_n12_s21,watts_strogatz,21,12,24,0.36363636363636365,4.0,0.9128709291752769,6,0.3611111111111111,1,COBYLA,linear,127,124,172,296,5.166666666666667,124.0,5.166666666666667
