graph_id,graph_type,graph_seed,num_nodes,num_edges,edge_density,avg_degree,degree_std,max_degree,clustering,optimal_cut,random_mean_cut,random_best_cut,random_mean_ratio,random_best_ratio,greedy_cut,greedy_bits,greedy_ratio
random_regular_n8_s84,random_regular,84,8,12,0.42857142857142855,3.0,0.0,3,0.49999999999999994,10,5.98486328125,10.0,0.598486328125,1.0,10.0,00110101,1.0
random_regular_n8_s168,random_regular,168,8,12,0.42857142857142855,3.0,0.0,3,0.24999999999999997,10,6.06591796875,10.0,0.606591796875,1.0,10.0,00110110,1.0
random_regular_n10_s7,random_regular,7,10,15,0.3333333333333333,3.0,0.0,3,0.19999999999999998,13,7.455078125,13.0,0.5734675480769231,1.0,11.0,0011001011,0.8461538461538461
random_regular_n10_s21,random_regular,21,10,15,0.3333333333333333,3.0,0.0,3,0.4,12,7.51904296875,12.0,0.6265869140625,1.0,11.0,0000101111,0.9166666666666666
random_regular_n10_s42,random_regular,42,10,15,0.3333333333333333,3.0,0.0,3,0.19999999999999998,13,7.53466796875,13.0,0.57958984375,1.0,11.0,0001111100,0.8461538461538461
random_regular_n10_s84,random_regular,84,10,15,0.3333333333333333,3.0,0.0,3,0.1,13,7.42041015625,13.0,0.57080078125,1.0,13.0,0011101100,1.0
random_regular_n10_s168,random_regular,168,10,15,0.3333333333333333,3.0,0.0,3,0.4,12,7.5166015625,12.0,0.6263834635416666,1.0,12.0,0011001100,1.0
random_regular_n12_s7,random_regular,7,12,18,0.2727272727272727,3.0,0.0,3,0.0,16,9.0126953125,16.0,0.56329345703125,1.0,16.0,001101011100,1.0
random_regular_n12_s21,random_regular,21,12,18,0.2727272727272727,3.0,0.0,3,0.08333333333333333,16,9.0341796875,16.0,0.56463623046875,1.0,16.0,010010011110,1.0
random_regular_n12_s42,random_regular,42,12,18,0.2727272727272727,3.0,0.0,3,0.08333333333333333,16,9.05322265625,15.0,0.565826416015625,0.9375,15.0,111111010000,0.9375
random_regular_n12_s84,random_regular,84,12,18,0.2727272727272727,3.0,0.0,3,0.24999999999999997,15,9.0224609375,15.0,0.6014973958333333,1.0,14.0,010111100001,0.9333333333333333
random_regular_n12_s168,random_regular,168,12,18,0.2727272727272727,3.0,0.0,3,0.0,15,8.99072265625,15.0,0.5993815104166667,1.0,14.0,011110110000,0.9333333333333333
watts_strogatz_n6_s7,watts_strogatz,7,6,12,0.8,4.0,1.0,5,0.9,8,5.95849609375,8.0,0.74481201171875,1.0,7.0,001110,0.875
watts_strogatz_n6_s21,watts_strogatz,21,6,12,0.8,4.0,0.5773502691896257,5,0.7277777777777777,9,5.97998046875,9.0,0.6644422743055556,1.0,7.0,011010,0.7777777777777778
watts_strogatz_n6_s42,watts_strogatz,42,6,12,0.8,4.0,0.5773502691896257,5,0.7277777777777779,9,5.99267578125,9.0,0.6658528645833334,1.0,8.0,110010,0.8888888888888888
watts_strogatz_n6_s84,watts_strogatz,84,6,12,0.8,4.0,0.5773502691896257,5,0.7277777777777779,9,5.98046875,9.0,0.6644965277777778,1.0,8.0,001110,0.8888888888888888
watts_strogatz_n6_s168,watts_strogatz,168,6,12,0.8,4.0,0.5773502691896257,5,0.7277777777777779,9,6.01318359375,9.0,0.6681315104166666,1.0,7.0,011100,0.7777777777777778
watts_strogatz_n8_s7,watts_strogatz,7,8,16,0.5714285714285714,4.0,1.0,6,0.6124999999999999,12,7.9560546875,12.0,0.6630045572916666,1.0,12.0,00011011,1.0
watts_strogatz_n8_s21,watts_strogatz,21,8,16,0.5714285714285714,4.0,0.5,5,0.44583333333333336,12,7.9921875,12.0,0.666015625,1.0,11.0,00101011,0.9166666666666666
watts_strogatz_n8_s42,watts_strogatz,42,8,16,0.5714285714285714,4.0,0.8660254037844386,5,0.7416666666666667,11,8.01953125,11.0,0.7290482954545454,1.0,10.0,11010010,0.9090909090909091
watts_strogatz_n8_s84,watts_strogatz,84,8,16,0.5714285714285714,4.0,1.118033988749895,6,0.49583333333333335,13,7.98876953125,13.0,0.6145207331730769,1.0,13.0,10110010,1.0
watts_strogatz_n8_s168,watts_strogatz,168,8,16,0.5714285714285714,4.0,0.8660254037844386,5,0.49166666666666675,12,8.04296875,12.0,0.6702473958333334,1.0,12.0,01110110,1.0
watts_strogatz_n10_s7,watts_strogatz,7,10,20,0.4444444444444444,4.0,1.4142135623730951,7,0.43000000000000005,15,9.9365234375,15.0,0.6624348958333334,1.0,15.0,1011001101,1.0
watts_strogatz_n10_s21,watts_strogatz,21,10,20,0.4444444444444444,4.0,0.7745966692414834,5,0.3866666666666666,15,9.9765625,15.0,0.6651041666666667,1.0,14.0,0101101100,0.9333333333333333
watts_strogatz_n10_s42,watts_strogatz,42,10,20,0.4444444444444444,4.0,1.2649110640673518,6,0.49000000000000005,15,9.99072265625,15.0,0.6660481770833333,1.0,14.0,0111011101,0.9333333333333333
watts_strogatz_n10_s84,watts_strogatz,84,10,20,0.4444444444444444,4.0,1.0954451150103321,6,0.44333333333333325,15,10.00732421875,15.0,0.6671549479166666,1.0,14.0,0011011001,0.9333333333333333
watts_strogatz_n10_s168,watts_strogatz,168,10,20,0.4444444444444444,4.0,0.6324555320336759,5,0.38333333333333336,16,9.97265625,16.0,0.623291015625,1.0,15.0,0110101010,0.9375
watts_strogatz_n12_s7,watts_strogatz,7,12,24,0.36363636363636365,4.0,1.2909944487358056,7,0.38492063492063494,19,11.9970703125,19.0,0.6314247532894737,1.0,19.0,110100011000,1.0
watts_strogatz_n12_s21,watts_strogatz,21,12,24,0.36363636363636365,4.0,0.9128709291752769,6,0.3611111111111111,18,12.01806640625,18.0,0.6676703559027778,1.0,16.0,010110110010,0.8888888888888888
watts_strogatz_n12_s42,watts_strogatz,42,12,24,0.36363636363636365,4.0,1.35400640077266,7,0.35000000000000003,19,11.962890625,18.0,0.629625822368421,0.9473684210526315,16.0,010011110011,0.8421052631578947
watts_strogatz_n12_s84,watts_strogatz,84,12,24,0.36363636363636365,4.0,1.5811388300841898,7,0.575,18,11.99365234375,18.0,0.6663140190972222,1.0,17.0,100110111000,0.9444444444444444
watts_strogatz_n12_s168,watts_strogatz,168,12,24,0.36363636363636365,4.0,0.816496580927726,6,0.23055555555555554,19,11.98486328125,19.0,0.6307822779605263,1.0,15.0,010110110001,0.7894736842105263
