transition,optimizer,mean_quality_gain,mean_cx_increase,mean_quality_gain_per_cx,std_quality_gain_per_cx
p1_to_p2,COBYLA,0.05121111076814991,94.68333333333334,0.00027725161441859505,0.004904623446952658
p1_to_p2,SPSA,0.03356624388748777,105.08333333333333,0.0006068369937983425,0.0028548903428636816
p2_to_p3,COBYLA,0.003901274518457683,77.65,0.00046637128016944573,0.002919259421445548
p2_to_p3,SPSA,0.028963480660952997,105.0,0.0008789516891440572,0.004323900750775726
